id,name,naissance,mort,genre,e.date,,,,,,,img-path,prix,prix-id,fond,WP,WD
226,Jensen Ingeborg Hammer,1880-01-20,1955-06-04,Femme,,,,,,,,file_uploads/ulf_512_Ingeborg_Hammer-Jensen_1908.jpg,,,,,Q28763273
227,K?kichi Hara,1918-06-21,2012-03-20,Homme,,,,,,,,,,,,https://ja.wikipedia.org/wiki/%E5%8E%9F%E4%BA%A8%E5%90%89,Q11409383
228,Peter Harrison,1955-01-01,2019-02-25,Homme,1957-11-09,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d9/Peter_Harrison_%28b._1955%29.jpg,,,,,Q7174556
229,Charles Homer Haskins,1870-12-21,1937-05-14,Homme,1928-02-12,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/02/Charles.h.haskins.jpg,,,,https://fr.wikipedia.org/wiki/Charles_Homer_Haskins,Q973349
230,A?mad al-?asan,1925-06-25,2012-04-28,Homme,,,,,,,,,Légion d'honneur,10160,,https://en.wikipedia.org/wiki/Ahmad_Y._al-Hassan,Q4695499
231,Thomas Heath,1861-05-10,1940-03-16,Homme,1928-12-02,,,,,,,file_uploads/ulf_591_Thomas.Little.Heath.jpg|file_uploads/ulf_592_Thomas_Little_Heath.jpg,,,,https://fr.wikipedia.org/wiki/Thomas_Heath,Q925037
232,Erwin Ackerknecht,1906-01-06,1988-11-18,Homme,1960-02-15,,,,,,,file_uploads/ulf_583_Erwin.Ackerknecht.jpg|file_uploads/ulf_584_Erwin_Ackerknecht.jpg,,,,https://en.wikipedia.org/wiki/Erwin_Ackerknecht,Q91371
233,José Asin,1897-05-10,1984-05-18,Homme,1958-08-21,,,,,,,,,,,,
234,Edith Heischkel-Artelt,1906-02-13,1987-01-08,Femme,,,,,,,,,,,,https://de.wikipedia.org/wiki/Edith_Heischkel-Artelt,Q1285014
235,Siegfried Heller,1876-01-12,1970-09-06,Homme,,,,,,,,,,,,https://de.wikipedia.org/wiki/Siegfried_Heller,Q29168613
236,Clarisse Hellman,1910-08-28,1973-03-28,Femme,1969-01-12,,,,,,,file_uploads/ulf_513_Doris_Hellman.jpg,,,,https://en.wikipedia.org/wiki/C._Doris_Hellman,Q1095626
237,Gustav Hellmann,1854-03-07,1939-02-21,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/Gustav_Hellmann_cropped.jpg,,,,https://fr.wikipedia.org/wiki/Gustav_Hellmann,Q70610
238,John Henry,1950-01-01,2005-12-28,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/John_Henry%2C_HSS_2008.jpg,,,,,Q3181733
239,John Herivel,1918-08-29,2011-01-18,Homme,1976-04-05,,,,,,,,,,,https://fr.wikipedia.org/wiki/John_Herivel,Q823292
241,Mary Hesse,1924-10-15,2016-02-10,Femme,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Mary_Hesse,Q164161
242,Erwin Nick Hiebert,1919-05-27,2012-11-28,Homme,1984-09-11,,,,,,,,,,,,Q28038698
244,Miguel Asin Palacios,1871-05-07,1944-12-08,Homme,1931-02-15,,,,,,,file_uploads/ulf_585_Miguel.Asin.Palacios.jpg,,,,https://fr.wikipedia.org/wiki/Miguel_As%C3%ADn_Palacios,Q2713951
245,Erich Hintzsche,1900-08-26,1975-05-24,Homme,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Erich_Hintzsche,Q75999
247,Joseph Hofmann,1900-07-03,1973-07-05,Homme,1963-06-26,,,,,,,file_uploads/ulf_714_Hofmann.jpg,,,,https://en.wikipedia.org/wiki/Joseph_Ehrenfried_Hofmann,Q109387
249,Eric John Holmyard,1891-11-07,1959-10-13,Homme,,,,,,,,file_uploads/ulf_515_Holmyard.jpg,,,,,Q2784497
250,Roderick Home,1939-06-01,1959-08-13,Homme,2005-12-28,,,,,,,,,,,,Q7356694
251,Reijer Hooykaas,1906-01-08,1994-04-01,Homme,1957-11-09,,,,,,,,,,,,Q2855960
252,Mariano Hormigon Blanquez,1946-05-14,2004-07-21,Homme,,,,,,,,,,,11.3.1,https://fr.wikipedia.org/wiki/Mariano_Hormig%C3%B3n_Bl%C3%A1nquez,Q5997775
253,Zdenek Horsky,1929-11-03,1988-08-05,Homme,,,,,,,,,,,,https://cs.wikipedia.org/wiki/Zden%C4%9Bk_Horsk%C3%BD,Q168985
254,Michael Hoskin,1930-02-27,2021-05-12,Homme,1974-02-18,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Michael_Hoskin%2C_busto_en_Antequera.jpg,,,,https://fr.wikipedia.org/wiki/Michael_Hoskin,Q12771492
255,Gaston Bachelard,1884-06-27,1962-10-16,Homme,1948-01-04,,,,,,,file_uploads/ulf_581_Gaston_Bachelard.jpg,,,,https://fr.wikipedia.org/wiki/Gaston_Bachelard,Q270800
256,Boles?aw Hryniewiecki,1875-02-20,1963-02-13,Homme,,,,,,,,file_uploads/ulf_516_Boles?aw_Hryniewiecki.jpg,,,,https://fr.wikipedia.org/wiki/Boles%C5%82aw_Hryniewiecki,Q2909327
257,Tao-Ching Hu,1913-02-23,2004-11-06,Homme,,,,,,,,,,,,,
258,Pierre Huard,1901-10-16,1983-04-28,Homme,1960-02-15,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/29/Pierre_Alphonse_HUARD.jpg,,,,https://fr.wikipedia.org/wiki/Pierre_Huard,Q17304952
259,W?odzimierz Hubicki,1914-01-31,1977-07-13,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/W%C5%82odzimierz_Hubicki.jpg,,,,https://pl.wikipedia.org/wiki/W%C5%82odzimierz_Hubicki,Q9382652
260,Jeff Hughes,1965-12-11,2018-09-14,Homme,,,,,,,,,,,,https://en.wikipedia.org/wiki/Jeff_Hughes_(historian),Q29643019
261,Olof Hult,1868-02-12,1958-05-22,Homme,,,,,,,,file_uploads/ulf_577_Hult.png,,,,https://sv.wikipedia.org/wiki/Olof_Hult_(l%C3%A4kare),Q5816417
262,Pierre Humbert,1891-06-13,1953-11-17,Homme,,,,,,,,,,,,,Q1804232
263,Christian Hünemörder,1937-07-25,2012-09-19,Homme,,,,,,,,,,,,https://de.wikipedia.org/wiki/Christian_H%C3%BCnem%C3%B6rder_(Historiker),Q1080408
265,Friedrich Hunger,1874-03-04,1952-03-06,Homme,,,,,,,,file_uploads/ulf_257_Friedrich.Wilhelm.Hobias.Hunger.1874-1952.C109.preview.jpg,,,,,Q54985655
