id,name,lat,lng,nation,naissance,mort,c_date,e,e_date,genre,ocupation,link,WP
289,Bonifatij Kedrov,48.4680221,35.0417711,URSS,1903-11-27,1985-10-09,1963-06-26,156,1966-10-15,Homme,philosophe des sciences,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.marxists.org%2Fportugues%2Fdicionario%2Fimg%2Fk%2Fkedrov_bonifatiy_mikhailovich.jpg&f=1&nofb=1&ipt=ef048d35f54d3df8f824da2d95d36219a21acb786984ea487f313ef44a7dde0d,https://en.wikipedia.org/wiki/Bonifaty_Kedrov
290,Edward Kennedy,39.7837304,-100.445882,Etats Unis,1912-03-01,2009-04-05,1965-06-26,182,1971-01-11,Homme,des mathematiques,https://upload.wikimedia.org/wikipedia/ru/9/91/%D0%9A%D0%B5%D0%B4%D1%80%D0%BE%D0%B2%2C_%D0%91%D0%BE%D0%BD%D0%B8%D1%84%D0%B0%D1%82%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87.png?20150217170606,https://fr.wikipedia.org/wiki/Edward_Stewart_Kennedy
295,Martin Klein,39.7837304,-100.445882,Etats Unis,1924-06-25,2009-03-28,1971-01-11,240,1986-11-30,Homme,de la physique,https://upload.wikimedia.org/wikipedia/ru/a/a2/Martin_J._Klein.jpg,https://fr.wikipedia.org/wiki/Martin_J._Klein
297,Friedrich Klemm,51.1638175,10.4478313,Allemagne,1904-01-22,1983-03-16,1961-02-20,183,1971-01-11,Homme,archiviste,,https://fr.wikipedia.org/wiki/Friedrich_Klemm
301,Akira Kobori,35.6821936,139.762221,Japon,1904-10-09,1992-08-12,1958-08-21,132,1961-02-20,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fopc.mfo.de%2FphotoNormal%3Fid%3D657&f=1&nofb=1&ipt=7fac59fd2e0ef46cfe2fcb8cbb237e377be4e9ebbd077971532e568abd6c9ec1,https://ja.wikipedia.org/wiki/%E5%B0%8F%E5%A0%80%E6%86%B2
310,Henryk Barycz,52.2319581,21.0067249,Pologne,1901-06-26,1994-09-03,1965-06-26,176,1971-11-01,Homme,editeur,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fs.lubimyczytac.pl%2Fupload%2Fauthors%2F46753%2F23719-352x500.jpg&f=1&nofb=1&ipt=c1ce9c19beee7a2db9a35d4aed2791078b551755b6858590996e53e38ed7e598,https://pl.wikipedia.org/wiki/Henryk_Barycz
314,Thomas Kuhn,39.7837304,-100.445882,Etats Unis,1922-07-18,1996-06-17,1961-02-20,150,1966-10-15,Homme,philosophe des sciences,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmedia.snl.no%2Fmedia%2F70667%2Fstandard_thomas_kuhn.v1.jpg&f=1&nofb=1&ipt=de4439e22e798be384ac5a2696b829ecc8877a2b8fe1b30338c4a0401c817880,https://fr.wikipedia.org/wiki/Thomas_Kuhn
315,Paul Kunitzsch,48.1375,11.575,Allemagne,1930-01-01,2020-07-05,1967-12-24,244,1986-11-30,Homme,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.qdl.qa%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fauthor_photo%2Fpublic%2Fpaul_kunitzsch.jpg%3Fitok%3DfkkOSyhk&f=1&nofb=1&ipt=c31eda0b8ae4ddd46476ba8aec1b2da20acac10ab753c25562c992f22c878ae7,https://fr.wikipedia.org/wiki/Paul_Kunitzsch
317,Boris Kuznecov,48.4680221,35.0417711,URSS,1903-05-10,1984-05-09,1960-02-15,131,1961-02-20,Homme,,https://upload.wikimedia.org/wikipedia/ru/4/47/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BE%D0%B2%2C_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87.jpg,https://fr.wikipedia.org/wiki/Boris_Kouznetsov_(physicien)
321,Isabella Bashmakova,47.2216548,39.7096061,URSS,1921-03-01,2005-07-17,1967-12-24,175,1971-11-01,Femme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fstatic.pantheon.world%2Fprofile%2Fpeople%2F48050254.jpg&f=1&nofb=1&ipt=479f69c523376cfe5fc61a0fb730905526f93bbd560bac24ea67ed3b300c7b56,https://fr.wikipedia.org/wiki/Isabella_Bachmakova
